date,Month,city_name,category,item_id,item_name,qty_sold,mrp,,
02-10-2023,Oct,Meerut,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),1,1650,,
28-10-2023,Oct,Chandigarh,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,1,375,,
29-12-2023,Dec,Mohali,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),1,1650,,
27-11-2023,Nov,Zirakpur,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),1,1650,,
05-10-2023,Oct,Ludhiana,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,6,2250,,
14-12-2023,Dec,Faridabad,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,8,3000,,
22-11-2023,Nov,Amritsar,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,1,375,,
03-12-2023,Dec,Dehradun,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,1,375,,
12-11-2023,Nov,Ghaziabad,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),13,13637,,
17-11-2023,Nov,Chandigarh,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),1,1650,,
20-10-2023,Oct,Zirakpur,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,2,750,,
17-12-2023,Dec,Faridabad,"Dry Fruits, Masala & Oil",10049041,Jivo Pomace Olive Oil(Tin),2,9998,,
18-10-2023,Oct,Ghaziabad,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),20,20980,,
06-12-2023,Dec,Jalandhar,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,1,375,,
16-10-2023,Oct,Gurgaon,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),8,8392,,
31-10-2023,Oct,Amritsar,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),1,1650,,
26-12-2023,Dec,Dehradun,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,2,750,,
13-11-2023,Nov,Panchkula,"Dry Fruits, Masala & Oil",10049041,Jivo Pomace Olive Oil(Tin),1,4999,,
25-12-2023,Dec,Mohali,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,5,1875,,
14-11-2023,Nov,Zirakpur,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,2,750,,
13-11-2023,Nov,Ghaziabad,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),4,6600,,
02-11-2023,Nov,Delhi,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),12,19800,,
01-12-2023,Dec,Amritsar,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),1,1049,,
27-10-2023,Oct,Faridabad,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,3,1125,,
24-12-2023,Dec,Ghaziabad,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),3,4950,,
14-11-2023,Nov,Chandigarh,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),2,2098,,
25-10-2023,Oct,Faridabad,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,1,375,,
28-11-2023,Nov,Delhi,"Dry Fruits, Masala & Oil",10143665,Jivo Cold Press Canola Oil,2,0,,
07-10-2023,Oct,Ghaziabad,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),6,6294,,
18-11-2023,Nov,Faridabad,"Dry Fruits, Masala & Oil",10049041,Jivo Pomace Olive Oil(Tin),1,4999,,
14-10-2023,Oct,Mohali,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,1,375,,
15-11-2023,Nov,Dehradun,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),1,1650,,
10-12-2023,Dec,Delhi,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,63,23625,,
25-12-2023,Dec,Delhi,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),44,46156,,
03-12-2023,Dec,Zirakpur,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,9,3375,,
18-10-2023,Oct,Meerut,"Dry Fruits, Masala & Oil",10143665,Jivo Cold Press Canola Oil,3,0,,
16-12-2023,Dec,Gurgaon,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),3,4950,,
06-11-2023,Nov,Kharar,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,2,750,,
29-10-2023,Oct,Agra,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,1,375,,
22-12-2023,Dec,Ludhiana,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,5,1875,,
18-11-2023,Nov,Zirakpur,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,4,1500,,
11-12-2023,Dec,Ludhiana,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),4,4196,,
19-10-2023,Oct,Panchkula,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,1,375,,
07-12-2023,Dec,Ghaziabad,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),6,9900,,
19-10-2023,Oct,Ghaziabad,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),10,10490,,
18-11-2023,Nov,Delhi,"Dry Fruits, Masala & Oil",10143665,Jivo Cold Press Canola Oil,2,0,,
17-10-2023,Oct,Faridabad,"Dry Fruits, Masala & Oil",10049041,Jivo Pomace Olive Oil(Tin),1,4999,,
07-10-2023,Oct,Chandigarh,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,9,3375,,
23-12-2023,Dec,Chandigarh,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,8,3000,,
13-12-2023,Dec,Amritsar,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,2,750,,
17-12-2023,Dec,Faridabad,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),2,3300,,
27-11-2023,Nov,Kharar,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),1,1650,,
20-10-2023,Oct,Panchkula,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,6,2250,,
12-12-2023,Dec,Jalandhar,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,4,1500,,
29-10-2023,Oct,Faridabad,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),1,1650,,
03-12-2023,Dec,Ghaziabad,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),6,9900,,
24-12-2023,Dec,Delhi,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),54,56646,,
13-12-2023,Dec,Jalandhar,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,3,1125,,
21-12-2023,Dec,Delhi,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,39,14625,,
17-12-2023,Dec,Delhi,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),57,59793,,
14-11-2023,Nov,Faridabad,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),1,1650,,
18-12-2023,Dec,Mohali,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,5,1875,,
24-12-2023,Dec,Delhi,"Dry Fruits, Masala & Oil",10049041,Jivo Pomace Olive Oil(Tin),9,44991,,
09-12-2023,Dec,Panchkula,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,2,750,,
24-10-2023,Oct,Ghaziabad,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),1,1650,,
08-12-2023,Dec,Gurgaon,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),8,8392,,
07-12-2023,Dec,Jalandhar,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),1,1650,,
13-10-2023,Oct,Kharar,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,1,375,,
10-11-2023,Nov,Gurgaon,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),4,6445,,
26-10-2023,Oct,Faridabad,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,2,750,,
01-10-2023,Oct,Panchkula,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,2,750,,
03-12-2023,Dec,Delhi,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),11,18150,,
06-10-2023,Oct,Ludhiana,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),2,3300,,
06-10-2023,Oct,Ghaziabad,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),3,4950,,
06-10-2023,Oct,Panchkula,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,4,1500,,
01-11-2023,Nov,Gurgaon,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),4,4196,,
01-12-2023,Dec,Ghaziabad,"Dry Fruits, Masala & Oil",10049041,Jivo Pomace Olive Oil(Tin),1,4999,,
13-11-2023,Nov,Delhi,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,34,12750,,
22-11-2023,Nov,Faridabad,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),1,1650,,
27-12-2023,Dec,Zirakpur,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,5,1875,,
05-12-2023,Dec,Meerut,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),2,3300,,
04-10-2023,Oct,Zirakpur,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,1,375,,
